Programme;SIREN;NIC;Dénomination;Montant;Objet 2020;Convention 2020;Date de création de l'établissement;Etat administratif;Siège;Répertoire national des associations;Catégorie juridique;COG : code;COG : libellé;Activité;Nomenclature de l'activité;Economie sociale et solidaire
147;378289045;23;MISSION LOCALE DE LA REGION D'ALENC;          4 200,00;Accueil des jeunes 16-25 ans : emploi, santé,  formation, accompagnement social;;18/06/2002;Non déterminé;Non;;9220;61001;Alençon;84.13Z;NAFRev2;N
147;378289045;23;MISSION LOCALE DE LA REGION D'ALENC;          4 270,00;Dispositif d'insertion sociale par le sport, la culture ou  l'éducation;;18/06/2002;Non déterminé;Non;;9220;61001;Alençon;84.13Z;NAFRev2;N
147;378326607;17;CONSOMMATION LOGEMENT CADRE DE VIE;         20 250,00;2151- Accès aux savoirs de base et aux compétences clés 3121- Accès au droit au logement et accompagnement au relogement;;01/02/1989;Non déterminé;Non;W491002539;9220;49007;Angers;94.11Z;NAFRev2;N
147;378349971;44;ASSOCIATION CONTACT PLUS;         14 000,00;Dispositif d'insertion sociale par le sport, la culture ou  l'éducation;;20/01/2004;Non déterminé;Non;;9260;68066;Colmar;88.99B;NAFRev2;O
147;378350052;23;ASS ARTS ET DEVELOPPEMENT;          5 000,00;Favoriser l'integration econom femmes formation entrepr feminin marr;;01/01/1993;Non déterminé;Non;W133008134;9220;13203;Marseille 3e Arrondissement;94.99Z;NAFRev2;O
147;378351019;39;AU CHARBON;         10 000,00;Dispositif d'insertion sociale par le sport, la culture ou  l'éducation;;05/03/1995;Non déterminé;Non;W583001297;9230;58194;Nevers;94.99Z;NAFRev2;O
147;378354104;51;ASSOCIATION TRICOT COUTURE SERVICE;         26 500,00;Dispositif d'insertion sociale par le sport, la culture ou  l'éducation;;01/01/2012;Non déterminé;Non;W543000550;9220;54547;Vandœuvre-lès-Nancy;95.29Z;NAFRev2;O
147;378391684;32;INSERSOL;         32 800,00;Insertion sociale et dans l'emploi;;07/07/1998;Non déterminé;Non;W595001647;9220;59350;Lille;88.99B;NAFRev2;O
147;378401558;28;CENTRE D INFORMATION SUR LE;         19 510,00;Animation sociale des quartiers;;17/07/2008;Non déterminé;Non;W143000568;9220;14366;Lisieux;94.99Z;NAFRev2;O
147;378416085;33;ASSOCIATION POINT FORMATION;        286 180,00;1) CVM - Trophée des Aiglons 2) CPO- CVM - PDEC - Car t'y es sport 3) VVV - n° 20127 - Jeunesse en action 4) VVV - n° 20128 - A la decouverte de la Provence Kalliste 5) COLOS APPRENANTES 6)  COLO APPRENANTE - Toussaint Noel - Connais toi toi-même!;;01/01/2016;Non déterminé;Non;W134000650;9220;13056;Martigues;85.59A;NAFRev2;O
147;378417406;30;ALTERNATIVE EDUCATION FORMATION;         41 789,00;Insertion sociale et dans l'emploi;;24/11/2011;Non déterminé;Non;W596000401;9220;59606;Valenciennes;85.59A;NAFRev2;O
147;378423297;19;ASS ANIMATION SOCIALE CULTURELLE KE;         20 000,00;Animation sociale des quartiers;;03/07/1989;Non déterminé;Non;W561000223;9220;56121;Lorient;88.99B;NAFRev2;O
